Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
34	1	543.3671571	0.002058111	0.002354612	0.002788201	0.004347052	0.001725798	0.001432551	0.00263255	0.002819049	0.001876298	0.001530895	0.002669342
34	2	79.93330566	0.016048457	0.013998697	0.021902294	0.023554962	0.012346092	0.015615241	0.018107037	0.016527633	0.011683416	0.011620345	0.015423733
34	3	24.12365042	0.040178211	0.041239585	0.051098095	0.059464474	0.03657742	0.037168441	0.045406906	0.036713453	0.035291243	0.037213509	0.042792371
34	4	6.171344941	0.136198855	0.128792685	0.152649081	0.169800786	0.129673273	0.13390287	0.13475293	0.12103888	0.112659669	0.122700966	0.116294066
35	1	516.1221863	0.001888094	0.002361726	0.002862355	0.004025577	0.001821228	0.002011667	0.002617843	0.002180065	0.001834077	0.001437548	0.002702296
35	2	74.38879891	0.013764638	0.013848174	0.02105819	0.024468959	0.012944255	0.012707575	0.017630536	0.014428886	0.010713838	0.011228648	0.015391398
35	3	23.6560312	0.035422819	0.035649007	0.053847343	0.058739548	0.036707859	0.039688336	0.050254618	0.042240209	0.034162895	0.032778178	0.045129535
35	4	6.0112691	0.139795656	0.117148415	0.155735735	0.161841688	0.131883764	0.137509682	0.132962194	0.108236691	0.106130395	0.132198739	0.123502376
36	1	568.7714836	0.001986525	0.002461317	0.002780785	0.004514438	0.001764777	0.001463031	0.002559015	0.002405589	0.001817189	0.001614908	0.002783186
36	2	74.96657599	0.013949812	0.014500443	0.020880483	0.023681092	0.012114802	0.012492193	0.017630536	0.016002946	0.011331944	0.011685628	0.016523118
36	3	24.75696821	0.041245748	0.041094375	0.055174566	0.055161105	0.034979535	0.040948283	0.049123485	0.041055904	0.033468528	0.036672615	0.04418354
36	4	6.081843391	0.136438642	0.124734833	0.13609339	0.149525958	0.12096447	0.136607979	0.142363561	0.09077916	0.108465105	0.125011235	0.123182007
37	1	541.4330337	0.00190599	0.002084294	0.002914263	0.004577139	0.001775529	0.00163067	0.00248548	0.002518351	0.00174288	0.00152156	0.002684321
37	2	80.60080717	0.014875685	0.014450268	0.020169658	0.026470085	0.013000083	0.013461415	0.018583538	0.019151067	0.010822915	0.012077325	0.01619977
37	3	24.8459154	0.039401821	0.038625808	0.049391665	0.062497803	0.037577456	0.034858538	0.04314464	0.042240209	0.033103984	0.032778178	0.04607553
37	4	6.245751227	0.14171395	0.126675545	0.163592673	0.163739452	0.130898364	0.157347144	0.162509348	0.131513398	0.110799815	0.12090409	0.133914379
38	1	566.6663223	0.001888094	0.002283476	0.002765954	0.004232286	0.001751336	0.00164591	0.00248548	0.001954541	0.001780034	0.001297527	0.002828124
38	2	80.93875605	0.015431208	0.014450268	0.020880483	0.024492435	0.012178606	0.012384501	0.019155339	0.014691229	0.011792493	0.012142608	0.017072811
38	3	26.46216755	0.035034624	0.041384795	0.050624087	0.056248023	0.035642603	0.03863838	0.047992353	0.040266367	0.035378039	0.035374469	0.047132819
38	4	6.631407553	0.139316083	0.132321251	0.148440007	0.139576512	0.120591616	0.13390287	0.152660296	0.122202715	0.112540955	0.134509008	0.128468101
39	1	565.989542	0.002031267	0.002190999	0.002884601	0.004360163	0.001775529	0.001920228	0.002750205	0.002067303	0.001700659	0.001680251	0.002624403
39	2	85.22690206	0.014505336	0.013948523	0.020880483	0.024708031	0.012936279	0.015830624	0.018964739	0.016002946	0.011877332	0.011750911	0.015811751
39	3	25.33130569	0.039207723	0.043127312	0.051572103	0.054460635	0.036794819	0.041788248	0.047345991	0.04895127	0.03470103	0.034509038	0.046242471
39	4	6.912487622	0.147468831	0.137614102	0.168643562	0.152983824	0.128927565	0.129845208	0.145049666	0.115219703	0.111986956	0.13887285	0.132152348
40	1	583.0998334	0.001700179	0.002454203	0.002877186	0.004224448	0.001787626	0.001706869	0.00282374	0.002819049	0.001906697	0.001428213	0.002684321
40	2	77.99552855	0.013270839	0.016055853	0.022124427	0.025455906	0.0128645	0.014430636	0.019060039	0.016527633	0.011610698	0.011555063	0.017169816
40	3	27.04868235	0.035811014	0.038625808	0.05195131	0.065215099	0.038816632	0.039058362	0.052516884	0.05131988	0.035030855	0.035915363	0.043404485
40	4	6.994844504	0.149387125	0.143789093	0.165556908	0.158622594	0.134946493	0.142469047	0.138334403	0.13849641	0.117764375	0.127834897	0.126225515
41	1	547.6540212	0.001762817	0.002205226	0.002877186	0.00455086	0.00172983	0.001386831	0.002426652	0.002292827	0.001822255	0.001502891	0.002669342
41	2	81.10879545	0.01469051	0.016256552	0.021946721	0.026699335	0.012736892	0.012922958	0.016868135	0.015740603	0.012192444	0.012207891	0.016102765
41	3	27.51503894	0.039304772	0.04472462	0.056122583	0.06109294	0.038816632	0.041158274	0.047345991	0.041845441	0.035273884	0.034617217	0.046520705
41	4	7.456824073	0.152983926	0.139731242	0.166959932	0.190838684	0.130365716	0.148330116	0.15624177	0.144315587	0.119465944	0.138616154	0.122381083
42	1	560.2148111	0.002156543	0.00215543	0.002803031	0.004564021	0.001865583	0.001935468	0.002573722	0.002631113	0.001845899	0.001502891	0.00276521
42	2	83.92997094	0.015369484	0.01590533	0.021769015	0.027396153	0.01240192	0.014107563	0.017058735	0.019151067	0.012362121	0.011424497	0.016329109
42	3	28.77439578	0.040081162	0.042473868	0.061526277	0.063789033	0.03933839	0.041158274	0.04686122	0.052898953	0.036957726	0.034076323	0.044573067
42	4	7.552752342	0.141234377	0.144671235	0.161909043	0.169751916	0.139607167	0.134353722	0.149078823	0.12103888	0.120296942	0.139386243	0.132472717
43	1	603.0845397	0.001789662	0.002347498	0.002625061	0.004566802	0.001676067	0.00152399	0.003073759	0.003307685	0.001778346	0.001549565	0.002726264
43	2	81.62322756	0.015246034	0.015654457	0.020702777	0.026192511	0.013151618	0.011846045	0.019060039	0.01547826	0.012071247	0.012860719	0.016490784
