Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
13	1	589.1926443	0.002210233	0.002560907	0.004961613	0.002187971	0.00359501	0.002973586	0.002032594	0.001662152	0.002334202	0.002392773	0.002603116	0.002625522	0.004757403	0.001827948	0.005677278	0.001807156	558.2638078	0.00160019	0.004027145	0.002348956	0.002353117	0.003741398	0.003119748	0.001888375	0.001874609	0.001913239	0.001605573	0.002768206	0.003241405
13	2	78.15341424	0.017282953	0.015804981	0.02974103	0.014744532	0.025145522	0.021902294	0.017621778	0.012963817	0.014999987	0.012677684	0.018289819	0.014444657	0.028397026	0.013430761	0.028364714	0.014935623	75.48712237	0.013676797	0.025899647	0.014149517	0.020013041	0.023625006	0.021249814	0.013792242	0.012762072	0.012832265	0.012077325	0.016846467	0.018359582
13	3	27.73574781	0.040372309	0.047265792	0.08296615	0.041415651	0.070415399	0.057544608	0.047817094	0.041193535	0.043572683	0.036741012	0.046166116	0.046876331	0.07327641	0.043371145	0.05860418	0.044450752	24.46022287	0.042628212	0.061849449	0.047474914	0.050093028	0.071373518	0.047372197	0.045087352	0.041453757	0.045218572	0.037321687	0.0474667	0.047055981
13	4	8.269022752	0.156580726	0.145906233	0.226102742	0.134847767	0.220309181	0.197265264	0.172225264	0.142474673	0.168008913	0.127781892	0.169332737	0.151120444	0.186196773	0.153402763	0.196868074	0.167856185	6.978130688	0.157797995	0.17575117	0.153283737	0.159823243	0.15698461	0.185049826	0.153256815	0.147561611	0.166596593	0.150680893	0.152335616	0.152727717
14	1	585.8690221	0.002040215	0.002568021	0.004928609	0.002136755	0.003352859	0.002936509	0.002430584	0.00196106	0.002513755	0.002480895	0.002618482	0.002401756	0.004945504	0.001858862	0.006000156	0.001957361	639.3888379	0.001478271	0.00400769	0.002202628	0.003059052	0.003169984	0.002894224	0.001884188	0.001768213	0.001609818	0.001437548	0.002825128	0.003255247
14	2	84.29647737	0.017344678	0.018464231	0.0291857	0.014040661	0.023182945	0.021591308	0.017704123	0.014772292	0.016657444	0.012607212	0.0180726	0.014727886	0.027078593	0.013462663	0.026674102	0.015113428	80.21391828	0.015938315	0.02433237	0.013382086	0.021156643	0.026887507	0.020987471	0.01391264	0.012507557	0.014120262	0.011424497	0.016749463	0.018554635
14	3	26.70056546	0.040566406	0.04486983	0.08511832	0.039417914	0.070762273	0.058587426	0.048313466	0.045418912	0.040698096	0.035967746	0.044069789	0.047594742	0.072461221	0.04216458	0.066434911	0.044285508	25.24583511	0.03863838	0.060372525	0.038806171	0.053163246	0.079279508	0.043424514	0.042254258	0.04074203	0.045485611	0.035158111	0.050082098	0.046246748
14	4	7.437930094	0.149866698	0.152963367	0.224058414	0.130246662	0.202575315	0.170888401	0.175749054	0.155206452	0.164974892	0.130661355	0.162312149	0.155287074	0.181648455	0.155213767	0.186548376	0.169937661	6.85856935	0.161855658	0.165582493	0.138148948	0.191161134	0.176163725	0.179230649	0.139002718	0.1370752	0.170235838	0.146573748	0.14288472	0.150457138
15	1	574.2746585	0.002129698	0.002368839	0.005115632	0.002100042	0.00322247	0.002684385	0.002274231	0.002322822	0.002513755	0.002386072	0.002625322	0.00217799	0.004608489	0.001887088	0.005865623	0.001957361	568.7901796	0.00158495	0.003752832	0.002372061	0.003073759	0.003727793	0.002255239	0.001923741	0.001822255	0.0017531	0.001437548	0.002759218	0.003239162
15	2	81.969823	0.017591578	0.016106028	0.033443233	0.01457886	0.019871096	0.022302133	0.017457088	0.017060567	0.014668495	0.012532813	0.017408531	0.015199933	0.027940646	0.0136461	0.029679634	0.014965257	72.08162435	0.014646019	0.023809944	0.014437304	0.018678838	0.025650007	0.019675754	0.013032629	0.012713593	0.015169741	0.013317699	0.018754224	0.018208085
15	3	28.6156405	0.042410334	0.045378064	0.077693334	0.04097247	0.071629458	0.064654732	0.046493438	0.05181155	0.043875271	0.03559471	0.045305683	0.047295404	0.07327641	0.041903701	0.066940119	0.045497301	25.70973247	0.040738292	0.059880217	0.039415692	0.051547342	0.07203235	0.054478026	0.040784303	0.039040829	0.044506468	0.034509038	0.050026451	0.047473771
15	4	7.821056155	0.154902219	0.151375512	0.204841725	0.139802803	0.18893388	0.176781105	0.17178479	0.179419568	0.151321797	0.124509	0.161785006	0.162658803	0.185343963	0.153535925	0.194486605	0.168302216	7.967472497	0.151486076	0.166037806	0.129525638	0.165195453	0.172612037	0.16875613	0.131536057	0.138301912	0.164170429	0.153247859	0.138719919	0.150770013
16	1	565.2296533	0.001968628	0.002333271	0.004763588	0.002158924	0.003054827	0.002921678	0.001862027	0.002195717	0.00258857	0.002326938	0.002564483	0.002304791	0.004657948	0.001772841	0.005166054	0.001962055	495.7982092	0.00163067	0.003793687	0.002179523	0.002779619	0.003714188	0.002819049	0.001925122	0.00184421	0.001694102	0.00136287	0.002585457	0.003171483
16	2	89.78555031	0.018702625	0.015202886	0.030049547	0.01420982	0.025390845	0.022879679	0.017292399	0.015519673	0.015497224	0.012507517	0.017290612	0.014114224	0.028968312	0.013510516	0.02629841	0.013957695	73.26496674	0.011199897	0.02316087	0.012374832	0.021442544	0.024412507	0.015740603	0.012564364	0.01328322	0.015122037	0.012403739	0.017105146	0.018049013
16	3	27.11939785	0.039013625	0.045741089	0.075971598	0.040006152	0.06694666	0.062758699	0.043680667	0.047726499	0.042967507	0.035309183	0.043936813	0.044062554	0.068319011	0.03934926	0.055825534	0.045717626	25.45000004	0.039688336	0.058429203	0.038738446	0.053971198	0.07181274	0.050925112	0.04148671	0.0387978	0.042014106	0.032886356	0.049024809	0.046295678
16	4	7.113496955	0.147708618	0.14414195	0.203206262	0.131662387	0.18893388	0.173133241	0.142273044	0.159374594	0.160803113	0.124034869	0.156585459	0.141344891	0.191356605	0.14304275	0.185754553	0.16384191	7.718547538	0.154191184	0.158676898	0.122486201	0.160270927	0.168350011	0.143151752	0.139320811	0.13359292	0.153657051	0.144520175	0.130390317	0.145585227
17	1	571.5162735	0.00195968	0.00215543	0.004895605	0.002130546	0.00322247	0.002788201	0.002274231	0.002009947	0.002453904	0.002292215	0.002408937	0.002364462	0.004318499	0.001817196	0.00527368	0.001825931	553.1105851	0.001447791	0.003583575	0.0021272	0.002470773	0.003591742	0.002706287	0.001952112	0.001754702	0.001576105	0.001316197	0.002672337	0.003191357
17	2	84.85227832	0.01672743	0.015202886	0.027704819	0.014296614	0.023550928	0.021324749	0.016551296	0.015021419	0.015248605	0.012608781	0.017104425	0.015813595	0.028447735	0.012816647	0.027237639	0.01540977	74.35059206	0.012599884	0.022970897	0.012191866	0.020775443	0.020812506	0.01705232	0.01345036	0.012095487	0.013357004	0.013187133	0.015553072	0.017535815
17	3	25.61276464	0.036296258	0.044942435	0.083181367	0.040144364	0.067466971	0.055648574	0.046493438	0.045652789	0.041605861	0.034620902	0.043412731	0.046636861	0.066936053	0.03922969	0.060119805	0.040980619	24.86655047	0.038428388	0.053091546	0.040386066	0.060273224	0.063467528	0.041845441	0.042583847	0.03836382	0.042815222	0.036780793	0.048190108	0.04642365
17	4	7.230303145	0.140035443	0.136026246	0.197482142	0.127061282	0.179384875	0.166118117	0.154606311	0.153084489	0.148287776	0.120586339	0.149924287	0.135896221	0.170846199	0.14195082	0.158764575	0.150163638	7.242233721	0.128492653	0.158752784	0.120775088	0.158032506	0.167639674	0.16642846	0.129425318	0.123541794	0.141324051	0.14939741	0.124623669	0.145987495
18	1	586.8070075	0.002040215	0.002375953	0.004851599	0.002166147	0.003296978	0.002795616	0.002459012	0.001645391	0.002573607	0.002331784	0.002560167	0.002394297	0.004404712	0.00178225	0.005085334	0.001962055	442.5218791	0.001371591	0.003665285	0.0025723	0.002603136	0.003306035	0.002368001	0.001748805	0.001808745	0.001618247	0.001549565	0.002534526	0.003268528
18	2	79.7681542	0.015307759	0.015453759	0.027828225	0.014311818	0.021956334	0.019103421	0.017374744	0.013831147	0.013591148	0.012151835	0.016806525	0.014633476	0.025912287	0.013638124	0.025734873	0.014046598	70.22666469	0.012061427	0.02198937	0.013142264	0.018964739	0.021037506	0.017577007	0.012681906	0.011889451	0.013643226	0.010184123	0.014777035	0.017829341
18	3	25.997919	0.038140186	0.043708151	0.074034645	0.04011543	0.065732602	0.057260203	0.041695183	0.040928474	0.043875271	0.034708226	0.04192653	0.046517126	0.064581063	0.040110157	0.058856784	0.042357656	23.95181632	0.041158274	0.054387094	0.039889764	0.048477124	0.059075312	0.041055904	0.039057947	0.038172869	0.03729642	0.033102714	0.046353764	0.045407403
