Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
26	3	0.064565098	0.035502008	0.039709698	0.039915007	0.042211037	0.036853727	0.048184221	0.038375132	0.041200945	22.15969211	0.052573327	0.038602997	0.043246938
26	4	0.164772885	0.115027623	0.14755873	0.136525598	0.138427208	0.124673395	0.170482867	0.10849262	0.165774709	6.468406159	0.142513254	0.108583313	0.134849143
27	1	0.004917607	0.002093042	0.002160519	0.001987599	0.002154648	0.002475753	0.00256687	0.002237661	0.001821237	491.5095379	0.003774232	0.002241135	0.003211113
27	2	0.028136742	0.012749493	0.018198191	0.014283266	0.01276242	0.013425205	0.017613337	0.014586272	0.012446353	66.99463802	0.020532911	0.013046335	0.017113517
27	3	0.071667258	0.035807365	0.040867897	0.040039741	0.040546802	0.032357987	0.042880828	0.043942819	0.043349123	21.34618815	0.049464013	0.039618866	0.042467816
27	4	0.180718648	0.114673692	0.144475413	0.128568236	0.120981587	0.111495233	0.151457794	0.147274325	0.145852009	6.075167505	0.139553714	0.114566834	0.133687036
28	1	0.00436754	0.00206533	0.001989952	0.001949886	0.002423978	0.002375643	0.002542984	0.002319709	0.002055933	539.3951885	0.003643885	0.002248837	0.003177796
28	2	0.024311133	0.012851177	0.015316125	0.013268305	0.012430928	0.012076814	0.016167281	0.013736586	0.013157573	69.38308115	0.020944519	0.013909695	0.017287738
28	3	0.066179225	0.036068934	0.043184296	0.038761214	0.037672216	0.032776408	0.041253828	0.043044805	0.03949342	20.85928026	0.048971705	0.036435812	0.043416313
28	4	0.198708739	0.111488311	0.142273044	0.129022942	0.127808135	0.112983851	0.140938893	0.138780811	0.141391702	5.59097247	0.131282178	0.114390849	0.13464354
29	1	0.004730584	0.002071344	0.002459012	0.001933125	0.002079833	0.002334355	0.002443537	0.002260038	0.001924503	548.4619384	0.003725595	0.00226424	0.003128692
29	2	0.027581412	0.012892989	0.016139572	0.014606208	0.012845292	0.011890414	0.016092806	0.014822295	0.014105866	62.782262	0.020976181	0.013334121	0.016863546
29	3	0.075003122	0.035989365	0.040867897	0.039291335	0.040698096	0.030981604	0.041566713	0.048432889	0.039548501	19.6939104	0.050163609	0.037316231	0.042494163
29	4	0.211383576	0.109010793	0.144034939	0.122505484	0.127049629	0.110942364	0.138470905	0.161056253	0.139012873	5.398703048	0.137125373	0.109111271	0.134536268
30	1	0.004565564	0.002212737	0.002245803	0.001931728	0.002259387	0.002221236	0.002311836	0.002066107	0.001807156	539.3951885	0.003552447	0.002410568	0.003181838
30	2	0.026347344	0.012791305	0.017127709	0.01334212	0.013176784	0.012160268	0.015726637	0.015624776	0.014461476	61.47432288	0.020627897	0.013382086	0.016854077
30	3	0.080383547	0.035727796	0.044507953	0.038870356	0.03857998	0.032409926	0.039478208	0.049690108	0.040484886	19.07967026	0.045085061	0.038535273	0.04265601
30	4	0.219152025	0.118213003	0.135225463	0.122126562	0.119843829	0.104307937	0.129293823	0.165062627	0.129794907	5.283660847	0.124756012	0.109463243	0.132471293
31	1	0.00436754	0.00203584	0.002245803	0.001898206	0.002423978	0.002407625	0.002529643	0.002394297	0.001844707	452.4086222	0.004054381	0.002610807	0.003190259
31	2	0.026717564	0.01259934	0.013257506	0.013572793	0.013093911	0.012067506	0.016223137	0.015577572	0.016209893	60.61704738	0.02243264	0.013861731	0.016793478
31	3	0.07295856	0.035182959	0.047155266	0.040164476	0.034495041	0.033292888	0.041910886	0.046756596	0.038171464	19.98098949	0.056149039	0.035758566	0.041794082
31	4	0.196664411	0.111488311	0.140511148	0.128037745	0.123257103	0.119182743	0.14383818	0.149357639	0.133660505	5.712602856	0.154427302	0.114566834	0.130683436
32	1	0.004642573	0.001988138	0.002103664	0.002032295	0.002678347	0.002277795	0.002447209	0.002133237	0.001750829	491.2897915	0.003960998	0.002148717	0.003151917
32	2	0.024681353	0.012568932	0.017292399	0.014052593	0.013425402	0.012404822	0.016409325	0.015152729	0.013365012	66.09792884	0.021736073	0.011559436	0.016632513
32	3	0.068546612	0.035240827	0.045335238	0.040180068	0.041454567	0.031215329	0.042959049	0.045678979	0.039989153	19.66225794	0.054464827	0.038873896	0.041771499
32	4	0.190122559	0.112904036	0.138308779	0.133570006	0.128187387	0.110837055	0.147336493	0.138139791	0.143473179	5.292135649	0.152985474	0.111927046	0.131461154
33	1	0.004180516	0.002123546	0.002245803	0.002035089	0.002124722	0.002254658	0.002453366	0.002267497	0.001671032	563.2973081	0.003447392	0.002404712	0.003168904
33	2	0.024372836	0.012960148	0.014986746	0.014237131	0.012845292	0.011890414	0.014882587	0.014161429	0.014165135	64.38792331	0.021213647	0.012335756	0.017092686
33	3	0.063381404	0.036468326	0.043680667	0.041396228	0.039941626	0.031345176	0.037992007	0.039273146	0.038887523	21.0517484	0.04775389	0.037201698	0.042927009
33	4	0.16804381	0.112196174	0.140511148	0.128037745	0.144115997	0.110363168	0.128838563	0.130127042	0.144067886	6.004370396	0.129233265	0.116901319	0.129852082
34	1	0.004433548	0.002047369	0.002217375	0.001975028	0.002678347	0.002308646	0.002338976	0.002327168	0.001962055	520.5245796	0.003756723	0.002210329	0.003156277
34	2	0.026162234	0.012919281	0.015151435	0.014117181	0.013591148	0.012033774	0.016161075	0.013028514	0.01377989	71.19316949	0.02051708	0.011847223	0.016980956
34	3	0.06370423	0.036091021	0.040206069	0.040866107	0.036007981	0.032461865	0.040252598	0.040231028	0.038612116	21.07821276	0.048323931	0.035487668	0.042302205
34	4	0.166817213	0.113257967	0.136987358	0.128568236	0.141840482	0.113101185	0.140986815	0.125639903	0.138864196	5.746467052	0.13507646	0.115270778	0.133195375
35	1	0.004840598	0.002133395	0.002316873	0.001683103	0.002319239	0.002316359	0.002379742	0.002498722	0.001807156	563.5139567	0.003591357	0.002304445	0.003230333
35	2	0.026223937	0.013095727	0.013257506	0.012161075	0.013674021	0.011713323	0.015521831	0.015577572	0.014076232	70.22666469	0.021308634	0.012576132	0.017047236
35	3	0.06940748	0.036817084	0.042687925	0.036017057	0.039487744	0.031072497	0.039619006	0.045319774	0.038336708	21.20868307	0.048816239	0.037134388	0.042050026
35	4	0.184398439	0.112196174	0.129058829	0.113108218	0.127428882	0.110020915	0.133630773	0.136056476	0.140945672	5.688297424	0.137049487	0.121124438	0.132703715
36	1	0.003894481	0.002058898	0.002387943	0.002032295	0.002229462	0.002284223	0.00247339	0.002304791	0.001994912	508.4186686	0.00360303	0.002202628	0.003158821
36	2	0.023632395	0.012663014	0.014986746	0.01418177	0.014419877	0.012067506	0.01603695	0.014539067	0.014105866	61.97646233	0.020279613	0.01438934	0.017300994
36	3	0.061121626	0.035516863	0.040867897	0.040086517	0.043118801	0.033150056	0.039791093	0.036519236	0.040319642	21.35156735	0.046924739	0.039144794	0.042614607
36	4	0.167226079	0.115381554	0.135665936	0.137283442	0.135013934	0.11404896	0.135715384	0.127082198	0.142283764	6.302201316	0.127487895	0.11474282	0.133231132
37	1	0.004356538	0.002191485	0.00241637	0.001934521	0.002079833	0.002347508	0.002446823	0.002036272	0.001905728	452.0829061	0.003758668	0.002283229	0.003145176
37	2	0.023817505	0.013513866	0.015398469	0.014292493	0.016160207	0.012212389	0.015708019	0.013500562	0.013394646	66.79533944	0.021720242	0.012008314	0.017562327
37	3	0.070268348	0.037841657	0.044507953	0.040959658	0.039639038	0.033335413	0.039931891	0.039392881	0.041421271	21.28926215	0.05073365	0.036073773	0.042230692
37	4	0.179083185	0.11113438	0.136546884	0.131789073	0.143357492	0.11600516	0.139141814	0.121152763	0.150163638	5.951438269	0.138415429	0.107793118	0.134321725
38	1	0.004301531	0.002163899	0.001890454	0.002026708	0.002079833	0.002281652	0.002318614	0.002148155	0.0020043	520.7095705	0.003669176	0.002458676	0.003159203
38	2	0.025792014	0.01340458	0.01696302	0.014126408	0.014088385	0.012674676	0.015652162	0.014350248	0.014580013	68.06462341	0.020437924	0.01252709	0.017268801
38	3	0.055848809	0.037594556	0.045666152	0.043516713	0.038277392	0.033176026	0.04026042	0.037956059	0.041641597	21.81181228	0.048168465	0.038760317	0.042878078
38	4	0.158639899	0.116797279	0.152403942	0.139519082	0.141840482	0.118945799	0.13264837	0.109614405	0.148082162	6.108363991	0.133406976	0.122530529	0.136601244
39	1	0.004466552	0.002177359	0.002260017	0.002000169	0.002109759	0.002332072	0.002537597	0.001879635	0.002145117	563.2251289	0.003818978	0.002379762	0.00313751
39	2	0.024311133	0.013543645	0.014657367	0.014477031	0.015248605	0.013612395	0.016316231	0.01298131	0.01505416	69.40519713	0.02168858	0.01299837	0.017295313
39	3	0.063489013	0.038088371	0.047320723	0.041099984	0.045085623	0.033880617	0.040526372	0.036279766	0.04434059	24.06826263	0.050137698	0.042598746	0.04330716
39	4	0.173359065	0.121044452	0.143594465	0.139822219	0.125532619	0.122429106	0.142448439	0.112819505	0.143175825	7.018831831	0.139857257	0.122310215	0.133195375
40	1	0.004378541	0.00202884	0.002061022	0.002085372	0.002543681	0.002320215	0.002520001	0.002088484	0.002027769	548.5988447	0.003760614	0.002194926	0.003264086
40	2	0.02573031	0.01403686	0.016304262	0.014753839	0.015248605	0.013442071	0.016130044	0.014255838	0.013868793	59.64093089	0.022274329	0.013094299	0.018073631
40	3	0.068869437	0.039425147	0.045169781	0.043968875	0.03933645	0.035409402	0.042552299	0.043882951	0.043569449	21.71988418	0.04938628	0.038399824	0.045328362
40	4	0.190122559	0.130954525	0.133463567	0.144255607	0.139185713	0.129002748	0.145347726	0.125159138	0.147636131	6.862944253	0.14554868	0.115974722	0.138693037
41	1	0.00469758	0.002071664	0.002075236	0.001940109	0.002244425	0.00236392	0.002447281	0.002073566	0.001830625	458.7217175	0.003890961	0.002202628	0.003169557
41	2	0.027087785	0.014518987	0.01523378	0.014624662	0.017486172	0.013180651	0.016477594	0.014775091	0.015291233	76.39810476	0.023208363	0.013238193	0.017602095
41	3	0.070160739	0.040631333	0.043349753	0.043360795	0.04084939	0.03398108	0.042669631	0.038075794	0.040650131	25.19160945	0.057677785	0.03745168	0.043566868
41	4	0.196664411	0.128830938	0.155046785	0.138988591	0.149425534	0.126870254	0.147096883	0.131409082	0.156854097	7.252248041	0.162243524	0.121078313	0.138621523
42	1	0.005093629	0.00207065	0.002032594	0.002025311	0.002618495	0.002344638	0.002549857	0.002081025	0.002013688	538.9983279	0.003889016	0.002179523	0.003186951
42	2	0.027149488	0.014319106	0.016715986	0.014790746	0.014999987	0.013703492	0.016607925	0.013028514	0.015528307	69.47162973	0.022416809	0.013813766	0.017698675
