Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
86	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
86	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
86	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
86	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
87	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
87	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
87	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
87	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
88	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
88	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
88	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
88	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
89	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
89	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
89	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
89	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
90	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
90	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
90	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
90	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
91	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
91	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
91	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
91	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
92	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
92	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
92	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
92	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
93	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
93	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
93	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
93	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
94	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
94	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
94	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
94	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
95	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
95	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
95	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
95	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
96	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
96	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
96	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
96	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
97	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
97	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
97	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
97	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
98	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
98	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
98	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
98	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
99	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
99	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
99	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
99	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
100	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
100	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
100	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
100	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
101	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
101	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
101	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
101	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
102	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
102	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
102	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
102	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
