Year	Age	Australia	NewZealand
171	2	42795.3599	8205.518622
171	3	22801.89888	4312.025192
171	4	9458.465449	1632.935962
172	1	314816.8785	61843.2842
172	2	42795.3599	8205.518622
172	3	22801.89888	4312.025192
172	4	9458.465449	1632.935962
173	1	314816.8785	61843.2842
173	2	42795.3599	8205.518622
173	3	22801.89888	4312.025192
173	4	9458.465449	1632.935962
174	1	314816.8785	61843.2842
174	2	42795.3599	8205.518622
174	3	22801.89888	4312.025192
174	4	9458.465449	1632.935962
175	1	314816.8785	61843.2842
175	2	42795.3599	8205.518622
175	3	22801.89888	4312.025192
175	4	9458.465449	1632.935962
176	1	314816.8785	61843.2842
176	2	42795.3599	8205.518622
176	3	22801.89888	4312.025192
176	4	9458.465449	1632.935962
177	1	314816.8785	61843.2842
177	2	42795.3599	8205.518622
177	3	22801.89888	4312.025192
177	4	9458.465449	1632.935962
178	1	314816.8785	61843.2842
178	2	42795.3599	8205.518622
178	3	22801.89888	4312.025192
178	4	9458.465449	1632.935962
179	1	314816.8785	61843.2842
179	2	42795.3599	8205.518622
179	3	22801.89888	4312.025192
179	4	9458.465449	1632.935962
180	1	314816.8785	61843.2842
180	2	42795.3599	8205.518622
180	3	22801.89888	4312.025192
180	4	9458.465449	1632.935962
181	1	314816.8785	61843.2842
181	2	42795.3599	8205.518622
181	3	22801.89888	4312.025192
181	4	9458.465449	1632.935962
182	1	314816.8785	61843.2842
182	2	42795.3599	8205.518622
182	3	22801.89888	4312.025192
182	4	9458.465449	1632.935962
183	1	314816.8785	61843.2842
183	2	42795.3599	8205.518622
183	3	22801.89888	4312.025192
183	4	9458.465449	1632.935962
184	1	314816.8785	61843.2842
184	2	42795.3599	8205.518622
184	3	22801.89888	4312.025192
184	4	9458.465449	1632.935962
185	1	314816.8785	61843.2842
185	2	42795.3599	8205.518622
185	3	22801.89888	4312.025192
185	4	9458.465449	1632.935962
186	1	314816.8785	61843.2842
186	2	42795.3599	8205.518622
186	3	22801.89888	4312.025192
186	4	9458.465449	1632.935962
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
